Model/Epoch,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12
checkpoint_epoch_30,1.1234261508556065,1.790796380823561,1.8694080862004907,1.9995762198070952,2.167060238111852,2.3157449311508116,2.4985311896166444,2.685982225234379,2.8511576731877204,2.9498229521324486,2.98237015581363,3.1391679204228318
checkpoint_epoch_60,0.9155725138869822,1.5037645613467558,1.564787173248128,1.6751616654151102,1.843197107507994,1.996822898322832,2.167082061696838,2.369243388406141,2.565280339324893,2.65887419470201,2.6952018277536203,2.909803311163984
checkpoint_epoch_90,1.0544738670740557,1.5989444316425931,1.6505505575030723,1.779244707573041,1.9371125632615378,2.0803278825651894,2.237221995005049,2.452261048337701,2.679493140298892,2.7824056138387037,2.8317608361001927,3.030946036568795
checkpoint_epoch_120,1.1489730259980817,1.6462871280159546,1.686871831022062,1.8071704648387692,1.9581585184301986,2.094633114686375,2.2381441900788293,2.4435355979361932,2.6744751377745084,2.7797869731887683,2.8285637958089214,3.0307500181169074
checkpoint_epoch_150,1.3747552739272446,1.7230998032576774,1.7523189054630952,1.8701447184967837,2.0069580851037006,2.13694260531817,2.266308685450414,2.4766221747509163,2.7459582459490623,2.85485996903711,2.916658720373897,3.116806464856764
checkpoint_epoch_180,1.5089961073835456,1.7880030184265705,1.7906398635565548,1.9074442625010968,2.0334636564007353,2.165915697809513,2.2961399365386046,2.5065314479417524,2.759253365716042,2.8770169400519743,2.9397996788546568,3.1128179244213108
checkpoint_epoch_210,1.8687890933039717,2.0348644584019246,1.990575097195089,2.10653689145977,2.21921027797918,2.3495568952620247,2.4697785311504887,2.687929234689934,2.973816667831048,3.0941369780622368,3.1619495267602704,3.307312812740709
checkpoint_epoch_240,2.259451339339501,2.259857993431048,2.1605752273282075,2.261333417678556,2.356107114570077,2.4844977963466013,2.5980705480200994,2.8220065202220295,3.13076334670902,3.2601634591284934,3.3318857947578424,3.4400125801215538
checkpoint_epoch_270,2.4909151753735137,2.3473067841849735,2.185987924891045,2.274944319932309,2.3563109739387156,2.489216948858296,2.605984484339277,2.8459694746659316,3.1731370684754348,3.3074019006405115,3.3763197525278943,3.4675235302220364
checkpoint_epoch_300,2.5441587073626017,2.3529268539631354,2.1610871167369563,2.2436569381690017,2.3196118906744223,2.4542937095628186,2.5704667736128304,2.81277090175901,3.1544872325919964,3.294637606894704,3.364469368439136,3.4521889849749665
model_best,2.5463612263000535,2.3531229653657246,2.1633852926802466,2.244474073429041,2.320045638109838,2.4546576081316656,2.5710077659039112,2.8121394745368335,3.1534503403958523,3.2939289781963534,3.3637784330923974,3.4531589794209805
