Model/Epoch,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12
checkpoint_epoch_30,2.5763765560231686,2.416041218887797,2.4468048392653508,2.4289705563340083,2.424429243029445,2.5487543401306327,2.709917942544369,2.8730532750839504,3.0165012903033928,3.028201637758596,2.825846358654854,1.7377480581099256
checkpoint_epoch_60,2.538416633151651,2.367281300975563,2.384052406133001,2.3504030387632104,2.352723501090867,2.4700528331483587,2.598409953331234,2.7694874357179224,2.948961054472619,3.0047118736581186,2.8334641591118617,1.8123394105944404
checkpoint_epoch_90,2.4797054219847956,2.286078514134599,2.2942935312885506,2.247109103779061,2.2460173932271625,2.3381591587024073,2.4660582337505113,2.6345647724175425,2.807687627676408,2.8929846804419292,2.745919144676787,1.907009296411967
checkpoint_epoch_120,2.3897724506473974,2.1607180933284797,2.1446881342397153,2.089273904917319,2.078066797073401,2.1657111659426245,2.2887550341728478,2.4464095994707993,2.6263079004461822,2.7378111596226202,2.617807128442064,1.9021077606601169
checkpoint_epoch_150,2.295710726963751,2.030895110849876,1.9874151430180387,1.9316943886598985,1.9089162039447198,1.9695971691394942,2.0860337996385705,2.231067668189274,2.436825827451687,2.5729660262345213,2.476683180315728,1.9557822128907563
checkpoint_epoch_180,2.169727577250363,1.8612220422344041,1.81010208016404,1.7311044085276868,1.6983521311116836,1.750935523459152,1.8671477642723817,2.005097551914806,2.224137492553323,2.397534859364328,2.321676533158133,2.0302500893467816
checkpoint_epoch_210,2.084401085343647,1.754872001159212,1.6832693070733942,1.6082814191428032,1.5705358087078203,1.5782519197532867,1.6636978690385067,1.7896844723681915,2.0160947581975632,2.2079140197435567,2.148027530696809,2.1134582817277967
checkpoint_epoch_240,1.9266167903992646,1.565159321150449,1.478125747326471,1.403227480860917,1.364184043718522,1.347491433079634,1.4107960979055498,1.504706281659071,1.7291391243494632,1.9580085295035181,1.9215443135937478,2.168554334200472
checkpoint_epoch_270,1.7933946493133364,1.3582030219035115,1.224924910361666,1.025206380783645,0.9301495119492129,0.924420438322573,1.0698462128527655,1.2221050458957219,1.5113220246159194,1.769857236465083,1.7435678089046347,2.1880189993455836
checkpoint_epoch_300,1.7489250252770603,1.2980598273878168,1.1583902563706021,0.9611047970615322,0.8667933935102403,0.8488640315467008,0.9863869920620655,1.1325611532023168,1.4280060357917421,1.692936552129262,1.6705951066595552,2.1910501665872335
model_best,1.7504984168346365,1.2989834001440876,1.1594056202655463,0.9574930839792151,0.8615929314009871,0.8438538948238122,0.9846687369054232,1.13259224896872,1.4315589257989962,1.696778384050365,1.6747023069480083,2.1929293172850977
